Date-Time,NotaAcumulada,PresençaAcumulada
5-Dec-12-7:30:00,0.0,3.03
7-Dec-12-10:20:00,0.0,6.06
12-Dec-12-7:30:00,0.4,9.09
14-Dec-12-10:20:00,0.6,12.12
19-Dec-12-7:30:00,1.0,15.15
21-Dec-12-10:20:00,1.05,18.18
26-Dec-12-7:30:00,1.05,18.18
28-Dec-12-10:20:00,1.05,18.18
02-Jan-13-7:30:00,1.05,18.18
04-Jan-13-10:20:00,1.05,18.18
09-Jan-13-7:30:00,1.05,18.18
11-Jan-13-10:20:00,1.05,18.18
16-Jan-13-7:30:00,1.05,18.18
18-Jan-13-10:20:00,1.05,18.18
23-Jan-13-7:30:00,1.05,18.18
25-Jan-13-7:30:00,1.05,18.18
30-Jan-13-7:30:00,1.05,18.18
01-Feb-13-7:30:00,1.05,18.18
06-Feb-13-7:30:00,1.05,21.21
08-Feb-13-7:30:00,1.05,24.24
15-Feb-13-7:30:00,1.05,27.27
20-Feb-13-7:30:00,1.05,30.30
22-Feb-13-10:20:00,1.05,33.33
27-Feb-13-7:30:00,2.05,36.36
01-Mar-13-10:20:00,3.05,39.39
06-Mar-13-10:20:00,3.35,42.42
08-Mar-13-7:30:00,3.45,45.45
13-Mar-13-10:20:00,3.45,48.48
15-Mar-13-7:30:00,3.89,51.51
20-Mar-13-10:20:00,3.89,54.54
22-Mar-13-7:30:00,4.29,57.57
27-Mar-13-10:20:00,4.29,57.57
03-Apr-13-7:30:00,4.29,57.57
05-Apr-13-10:20:00,4.29,57.57
10-Apr-13-7:30:00,4.29,57.57
12-Apr-13-10:20:00,4.29,57.57
17-Apr-13-7:30:00,4.29,57.57
19-Apr-13-7:30:00,4.29,57.57
24-Apr-13-10:20:00,4.29,57.57
26-Apr-13-7:30:00,4.29,57.57
03-May-13-10:20:00,4.29,57.57
08-May-13-7:30:00,4.29,57.57
10-May-13-10:20:00,4.29,57.57
15-May-13-7:30:00,4.29,57.57
17-May-13-10:20:00,4.29,57.57
